+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|     行业     |  代码  |    名称    | 涨幅统计 |  9   |   8   |   7   |   6   |  5   |   4   |   3   |   2   |   1   |   0   |
+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|   纺织服装   | 002674 |  兴业科技  |  19.0%   |      |       | 10.0  | 10.0  | -2.6 | -2.1  | -0.1  |  0.9  |  3.0  | -0.7  |
|   通用设备   | 300990 |  同飞股份  |  18.9%   | 1.4  | -3.6  | -6.3  | 20.0  | 0.1  |  0.0  |  8.5  | -4.3  |  8.8  | -4.2  |
|   化学原料   | 603067 |  振华股份  |  18.8%   | 1.6  | -4.2  |  3.0  | 10.0  | 10.0 | -2.9  |  6.3  |  0.4  |  5.0  | -10.0 |
|   化纤行业   | 688203 |   N海正    |  18.8%   |      |       |       |       |      |       |       | 25.0  | -10.3 |  5.9  |
|     电池     | 002580 |  圣阳股份  |  18.6%   | 10.1 | -1.2  | -3.3  | -0.3  | 3.0  | -1.6  | 10.0  | -6.1  | 10.0  | -1.9  |
|   消费电子   | 002369 |  卓翼科技  |  18.6%   | -0.6 |  3.3  | 10.0  | -4.6  | 7.9  | -1.8  |  0.5  |  9.9  | -1.5  | -4.5  |
|   软件开发   | 003029 |  吉大正元  |  18.5%   |      |       |       |       |      |       | 10.0  |  5.2  |  5.7  | -3.1  |
|   电源设备   | 002364 |  中恒电气  |  18.5%   |      |       |       |       |      | 10.0  | 10.0  |  1.2  |  1.2  | -4.3  |
|     电池     | 300068 |  南都电源  |  18.4%   | 4.4  | -0.6  | -5.8  |  6.5  | -0.4 |  0.9  |  6.1  |  0.3  | 11.7  | -4.8  |
|   塑料制品   | 002825 |  纳尔股份  |  18.4%   | 2.0  | -1.0  | -1.7  |  2.7  | 1.8  | 10.0  | -0.1  | -1.2  | -1.1  |  6.2  |
|   软件开发   | 688201 |  信安世纪  |  18.4%   |      |       |       |       |      | 12.2  | -1.2  |  1.0  | -2.6  |  8.5  |
|   化学制药   | 688192 | 迪哲医药-U |  18.3%   | 12.2 |  5.4  |  2.1  | -3.7  | -0.7 | -2.2  |  0.1  |  1.3  |  3.3  |  0.1  |
|   玻璃玻纤   | 600586 |  金晶科技  |  18.3%   | 10.1 |  0.5  | -3.5  |  2.4  | 5.7  | -1.6  | -0.4  |  0.0  |  2.7  |  1.8  |
|   仪器仪表   | 688337 | 普源精电-U |  18.3%   |      |       | 11.1  |  0.9  | -2.1 | -3.9  |  2.9  |  8.3  |  0.3  |  0.4  |
|  光学光电子  | 002289 |  宇顺电子  |  18.2%   |      |       |       |       | 10.0 |  3.0  |  1.8  |  4.5  |  3.6  | -5.3  |
|   电网设备   | 688676 |  金盘科技  |  18.2%   | -1.8 |  3.5  | 11.8  |  1.8  | -3.8 | -5.7  |  2.1  |  3.4  | -0.9  |  7.6  |
|   专用设备   | 301018 |  申菱环境  |  18.2%   | 20.0 | -5.9  | -5.7  |  4.7  | -3.5 | -4.5  |  7.5  | -4.6  |  8.3  |  3.6  |
|  计算机设备  | 300551 |  古鳌科技  |  18.2%   | 10.4 | 10.5  |  5.2  | -6.3  | 17.3 | -4.2  | -4.7  | -3.0  | -1.0  | -4.5  |
