+--------------+--------+------------+----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+------+
|     行业     |  代码  |    名称    | 涨幅统计 |   9   |   8   |   7   |   6   |   5   |   4   |   3   |   2   |   1   |  0   |
|  光学光电子  | 300940 |   南极光   |  17.3%   |  1.4  | -0.6  | -3.6  |  0.0  |  1.2  | -3.6  | 15.4  |  6.4  |  1.5  | -0.8 |
|   铁路公路   | 000548 |  湖南投资  |  17.2%   |  3.0  |  2.7  | 10.0  | 10.1  | -6.7  | -8.3  | -0.4  |  9.9  |  1.0  | -3.2 |
|   通用设备   | 002598 |  山东章鼓  |  17.1%   |  0.8  |  0.6  | -5.5  | -0.5  |  5.3  | -4.4  | 10.1  | -0.8  | 10.0  | 1.4  |
|   工程建设   | 300712 |  永福股份  |  17.0%   |  2.2  | -3.9  |  1.6  | 10.9  | 13.9  | -5.0  |  3.0  |  3.7  | -2.8  | -5.8 |
|   电网设备   | 688663 |   新风光   |  16.9%   | -4.8  |  1.3  | -2.7  |  7.2  | 13.0  |  1.7  | 10.2  | -4.6  |  0.0  | -3.9 |
|   专用设备   | 688001 |  华兴源创  |  16.7%   |  0.6  | -3.2  | -2.8  |  3.7  |  7.9  | -0.7  |  0.7  | 11.8  | -0.6  | -0.7 |
|   电网设备   | 002533 |  金杯电工  |  16.5%   | -3.1  |  0.7  | -0.3  |  3.5  |  1.9  | 10.0  |  2.0  | -5.5  | 10.1  | -2.7 |
|   航运港口   | 601872 |  招商轮船  |  16.4%   |  0.0  |  1.2  | -4.0  |  1.4  |  0.0  | -3.0  | 10.0  |  5.4  |  4.3  | 0.8  |
|   软件开发   | 300229 |   拓尔思   |  16.4%   |  1.8  | -1.8  |  4.3  | -0.4  |  0.8  | -1.7  |  3.3  | 12.4  | -1.3  | -1.2 |
|   电源设备   | 300693 |  盛弘股份  |  15.9%   | -2.6  | -3.2  | -1.3  |  7.8  | 20.0  | -4.6  |  7.4  |  2.7  | -4.3  | -4.4 |
|   装修建材   | 002641 |  公元股份  |  15.7%   | -0.4  | -0.4  |  0.2  | 10.1  | -3.8  | -7.0  |  3.6  |  9.9  | 10.0  | -5.5 |
